id,name,url,price,promo_price,brand
610256622,"Напиток энергетический Volt Energy Кокос-манго, 450мл",https://online.metro-cc.ru/products/045l-en-nap-volt-energy-kokosmango-zhb-247768,,109.0,VOLT ENERGY
550527986,Энергетический напиток Adrenaline Rush 449мл x 12 шт,https://online.metro-cc.ru/products/0449l-en-nap-adrenalin-rash-zhb,,1428.0,ADRENALINE RUSH
86601,Энергетический напиток Red Bull 250мл x 24 шт,https://online.metro-cc.ru/products/art-261864,,3336.0,RED BULL
657127,Энергетический напиток Adrenaline Rush 330мл,https://online.metro-cc.ru/products/033-l-en-nap-adrenalin-rash,,109.0,ADRENALINE RUSH
427708,"Энергетический напиток Flash Up Energy, 450мл",https://online.metro-cc.ru/products/flash-up-zh-b-045-l,83.9,69.9,FLASH UP
89429,Энергетический напиток Red Bull 473мл x 12 шт,https://online.metro-cc.ru/products/red-bull-red-bull-473-ml-upakovka-12-banok,,2868.0,RED BULL
607470716,"Напиток энергетический Burn Сочная энергия, 449мл x 12 шт",https://online.metro-cc.ru/products/0449l-en-nap-burn-sochnaya-energiya-zhb-241873,1668.0,1198.8,BURN
546046,"Энергетический напиток Adrenaline Rush Game Fuel, 449мл",https://online.metro-cc.ru/products/adrenaline-game-fuel-0449-l,,119.0,ADRENALINE RUSH
608583046,"Напиток энергетический Flash Up манго-ананас, 450мл",https://online.metro-cc.ru/products/napitok-energeticheskiy-flash-up-mango-ananas-450ml,,69.9,FLASH UP
571408885,"Энергетический напиток Red Bull Tropical, 250мл x 12 шт",https://online.metro-cc.ru/products/025l-en-nap-red-bull-tropical-zhb-219119,,1668.0,RED BULL
571408880,"Энергетический напиток Red Bull Blue edition Черника, 250мл x 12 шт",https://online.metro-cc.ru/products/025l-en-nap-red-bull-blue-edition-chernika-zhb-219116,,1668.0,RED BULL
607470711,"Напиток энергетический Burn Арбуз без сахара, 449мл x 12 шт",https://online.metro-cc.ru/products/0449l-en-nap-burn-arbuz-bsah-zhb-241867,1668.0,1198.8,BURN
550303431,"Энергетический напиток Burn Original, 449мл х 12 шт",https://online.metro-cc.ru/products/0449l-en-nap-bern-orig-zhb,1668.0,1198.8,BURN
571705935,"Энергетический напиток Flash Up Max Lime Mint, 1л",https://online.metro-cc.ru/products/1l-en-nap-flash-up-myatnyy-laym-pet-218883,,99.9,FLASH UP
550527976,"Энергетический напиток Drive Me Original, 449мл х 12 шт",https://online.metro-cc.ru/products/0449l-napitok-energet-drive-me-oridzhinal-zhb,,958.8,DRIVE ME
363345,"Энергетический напиток Flash Up Max, 1л x 9 шт",https://online.metro-cc.ru/products/flash-up-max-pet-1l,981.0,899.1,FLASH UP
571349815,"Энергетический напиток Gorilla Extra Energy, 450мл",https://online.metro-cc.ru/products/045l-en-nap-gorilla-extra-energy-zhb-218887,99.9,89.9,GORILLA
550303461,"Энергетический напиток Adrenaline Rush Silver Energy Zero Sugar, 449мл х 6 шт",https://online.metro-cc.ru/products/0449l-en-nap-adrenalin-zero-zhb,,654.0,ADRENALINE RUSH
604934662,"Энергетический напиток Jaguar Классический вкус, 450мл",https://online.metro-cc.ru/products/napitok-energeticheskiy-jaguar-klassicheskiy-vkus-450ml,,82.9,JAGUAR
503059,"Энергетический напиток Tornado Energy Active, 450мл",https://online.metro-cc.ru/products/tornado-aktiv-banka-045-l-633395,73.9,59.99,TORNADO
550527981,"Энергетический напиток Drive Me Berry Kiсk, 449мл х 6 шт",https://online.metro-cc.ru/products/0449l-en-nap-drayv-mi-yagody-zhb,,479.4,DRIVE ME
605119806,"Энергетический напиток Flash Up Energy Bubble Gum, 450мл x 24 шт",https://online.metro-cc.ru/products/045l-en-nap-flash-up-babbl-gam-zhb,1917.6,1677.6,FLASH UP
608584756,"Напиток энергетический Flash Up манго-ананас, 450мл x 24 шт",https://online.metro-cc.ru/products/045l-en-nap-flash-up-mangoananas-zhb,1917.6,1677.6,FLASH UP
619462,"Энергетический напиток Burn Peach Zero, 449мл x 12 шт",https://online.metro-cc.ru/products/0449-l-en-nap-bern-persik-mango-bez-sah-zh-b-121440,1668.0,1198.8,BURN
607470726,"Напиток энергетический Burn Манго, 449мл x 12 шт",https://online.metro-cc.ru/products/0449l-en-nap-burn-mango-zhb-241870,1668.0,1198.8,BURN
571349820,"Энергетический напиток Drive Me Guava Strike, 449мл x 6 шт",https://online.metro-cc.ru/products/0449l-en-nap-drive-me-guava-strayk-zhb-218891,,479.4,DRIVE ME
86917,Энергетический напиток Red Bull 355мл х 24 шт,https://online.metro-cc.ru/products/red-bull-red-bull-355-ml-upakovka-24-banki,,4296.0,RED BULL
150111,"Энергетический напиток Flash Up Energy, 500мл x 20 шт",https://online.metro-cc.ru/products/flash-up-05-l-394596,1498.0,1258.0,FLASH UP
